Compound,Date,Negative,Neutral,Positive,Source,Tweet,Tweets Ago
-0.7964,Mon Mar 19 14:11:03 +0000 2018,0.426,0.574,0.0,@BBCNews,Hoax bomb threats sent to hundreds of schools https://t.co/omMkm1RrDC,76
0.875,Mon Mar 19 13:24:22 +0000 2018,0.667,0.0,0.333,@BBCNews,RT @BBCAfrica: The teenager with a zoo in his mouth - Listen to 19-year-old Justice Osei from Ghana show BBC Pidgin his amazing talent for…,77
0.4215,Mon Mar 19 13:11:13 +0000 2018,0.872,0.0,0.128,@BBCNews,"""The United Kingdom will be able to ratify new trade deals - Brexit Secretary David Davis says businesses will not… https://t.co/1QN7M7S9Vk",78
-0.2023,Mon Mar 19 12:54:55 +0000 2018,0.833,0.167,0.0,@BBCNews,Gravesend nightclub: Man charged after car driven into Blake's https://t.co/M8DBXq78Kz,79
0.0,Mon Mar 19 12:46:43 +0000 2018,1.0,0.0,0.0,@BBCNews,BBC wants to keep FM radio for longer https://t.co/eGnskU3mZ4,80
-0.3612,Mon Mar 19 12:34:37 +0000 2018,0.628,0.238,0.134,@BBCNews,RT @bbclaurak: Keir Starmer - ‘this agreement could have been signed months ago’ - ‘ministers wasted time fighting among themselves’,81
0.25,Mon Mar 19 12:15:19 +0000 2018,0.833,0.0,0.167,@BBCNews,"RT @BBCBreaking: EU's negotiator Michel Barnier hails ""decisive step"" towards UK's orderly withdrawal from EU https://t.co/2FtRgsHKdd #Brex…",82
0.3612,Mon Mar 19 12:09:57 +0000 2018,0.8,0.0,0.2,@BBCNews,The UK and EU agree terms for Brexit transition period https://t.co/8WWLh1Ih1v,83
0.2023,Mon Mar 19 12:09:21 +0000 2018,0.886,0.0,0.114,@BBCNews,"RT @ChrisMasonBBC: David Davis says today amounts to ""another significant step"" in the Brexit negotiations",84
-0.6369,Mon Mar 19 11:42:37 +0000 2018,0.625,0.375,0.0,@BBCNews,'Flawed' probe into Army instructors' abuse halted https://t.co/jSoRmdCPWO,85
-0.7717,Mon Mar 19 11:42:37 +0000 2018,0.642,0.358,0.0,@BBCNews,Serial killer Stephen Port: Report into Met's handling of case 'will be damning' https://t.co/mTpnOZhIrp,86
0.0,Mon Mar 19 11:34:18 +0000 2018,1.0,0.0,0.0,@BBCNews,"RT @BBCNewsbeat: A new report suggests clubbers should be given places to test drugs on a night out.

""It reduces the amount of people goin…",87
-0.3182,Mon Mar 19 11:33:53 +0000 2018,0.813,0.187,0.0,@BBCNews,"RT @BBCBusiness: 'I lost £15,000 in a day on gambling terminals' https://t.co/86heRFEROo",88
-0.7096,Mon Mar 19 11:33:45 +0000 2018,0.629,0.371,0.0,@BBCNews,RT @BBCTech: Robot Wars has been axed by the BBC again https://t.co/El0NWglY2e,89
0.2263,Mon Mar 19 11:29:32 +0000 2018,0.552,0.166,0.282,@BBCNews,UK tech giant Micro Focus halves in value as shares crash https://t.co/YAYYD4ztmX,90
-0.6808,Mon Mar 19 11:10:52 +0000 2018,0.741,0.259,0.0,@BBCNews,RT @bbcthree: 'I forget my PE kit deliberately' - we spoke to the boys who hate sport. https://t.co/11TJmy3IBz https://t.co/aX8MEJIlKf,91
0.2617,Mon Mar 19 11:08:29 +0000 2018,0.701,0.149,0.151,@BBCNews,"RT @VictoriaLIVE: Telford abuse: ""Victims were trying to disclose to people and nobody believed them, but now they feel the strength to spe…",92
0.5994,Mon Mar 19 11:05:05 +0000 2018,0.822,0.0,0.178,@BBCNews,"RT @BBCPanorama: ""John McEnroe makes at least £150,000 - I get about £15,000 for Wimbledon.""

Former tennis champion and Wimbledon commenta…",93
-0.7579,Mon Mar 19 10:33:29 +0000 2018,0.698,0.302,0.0,@BBCNews,US Army St Patrick's Day video showing shamrocks being fired from weapons gets mixed response online https://t.co/EeELEq2A20,94
-0.7096,Mon Mar 19 10:13:03 +0000 2018,0.702,0.231,0.067,@BBCNews,"In 1937 an abandoned baby girl was found by chance. Now aged 80, she wants to know why she was left to die.

https://t.co/QLNPyYlKDh",95
-0.0258,Mon Mar 19 09:53:58 +0000 2018,0.551,0.228,0.22,@BBCNews,Liz Hurley wants safer streets after nephew stabbed https://t.co/x49qTUUbPa,96
0.0,Mon Mar 19 07:58:20 +0000 2018,1.0,0.0,0.0,@BBCNews,Cardinal Keith O'Brien dies after fall https://t.co/tH5gReUmM3,97
-0.2732,Mon Mar 19 07:26:03 +0000 2018,0.792,0.208,0.0,@BBCNews,Fixed-odds maximum bet 'should be cut to £30' https://t.co/Av6DUTpCy3,98
-0.7906,Mon Mar 19 06:03:56 +0000 2018,0.533,0.467,0.0,@BBCNews,Briton Anna Campbell killed fighting with Kurdish YPJ unit https://t.co/fMtMAjRnNU,99
-0.5423,Mon Mar 19 05:39:46 +0000 2018,0.696,0.304,0.0,@BBCNews,Russian spy: International team to test Salisbury poison https://t.co/C3PejusFr9,100
0.0,Tue Mar 20 18:50:31 +0000 2018,1.0,0.0,0.0,@CBSNews,"Aerial footage shows investigators at a FedEx distribution center near San Antonio, Texas, after a package heading… https://t.co/Chs5d9rCEH",1
-0.3182,Tue Mar 20 18:25:01 +0000 2018,0.874,0.126,0.0,@CBSNews,"Pres. Trump congratulates Vladimir Putin on victory in election fraught with ballot stuffing accusations; ""an Ameri… https://t.co/CUQNIYe0wQ",2
0.0,Tue Mar 20 18:20:44 +0000 2018,1.0,0.0,0.0,@CBSNews,NOW: Pres. Trump discusses sanctuary cities at White House roundtable https://t.co/6eKPFMk15x https://t.co/sYuzHZn3NM,3
0.296,Tue Mar 20 18:15:12 +0000 2018,0.885,0.0,0.115,@CBSNews,"Q: ""When's the appropriate time to raise questions about political freedoms with Russia?""
@PressSec: ""Look, we've c… https://t.co/Doi4MJLmAf",4
0.3818,Tue Mar 20 18:11:31 +0000 2018,0.88,0.0,0.12,@CBSNews,".@PressSec: ""As White House counsel Ty Cobb said earlier this week, the White House yet again confirms the presiden… https://t.co/OshNoG0lAv",5
0.6808,Tue Mar 20 18:08:18 +0000 2018,0.789,0.0,0.211,@CBSNews,"Q: Does the WH believe the election in Russia was free and fair? 
@PressSec: ""...what we do know is that Putin has… https://t.co/FbNc9qoffL",6
-0.3818,Tue Mar 20 18:04:53 +0000 2018,0.852,0.148,0.0,@CBSNews,".@MajorCBS: ""Does the White House disagree with Senator McCain's characterization of this as a 'sham election'?""… https://t.co/o0yea3Regs",7
0.2023,Tue Mar 20 18:03:02 +0000 2018,0.909,0.0,0.091,@CBSNews,".@PressSec: ""The president, once again, has maintained that it's important for us to have a dialogue with Russia so… https://t.co/VZdsW8VxrA",8
0.0,Tue Mar 20 17:56:53 +0000 2018,1.0,0.0,0.0,@CBSNews,WATCH LIVE: @PressSec holds White House briefing as Pres. Trump hosts Saudi crown prince https://t.co/S9S2eIGLnC https://t.co/6jmxtjeVpS,9
0.8126,Tue Mar 20 17:35:32 +0000 2018,0.68,0.0,0.32,@CBSNews,Want to make sure your personal data online and on social media is safe? Here are five easy tips to keep your data… https://t.co/cgrTZsGXMN,10
0.0,Tue Mar 20 17:27:49 +0000 2018,1.0,0.0,0.0,@CBSNews,".@jeffpeguescbs: ""Do you think the way the [SRO] responded in this case should be an example for school districts a… https://t.co/L927s3ZK9E",11
0.0,Tue Mar 20 17:22:05 +0000 2018,1.0,0.0,0.0,@CBSNews,"NOW: Authorities in Maryland deliver update on high school shooting, in which two students were wounded; shooter ki… https://t.co/ixUpIax8Ab",12
